id_pdl,id_client,zone,type_client,puissance_souscrite_kva,type_chauffage,type_compteur,date_pose,statut
PDL-000001,CLI-00001,Coteaux-Ouest,residentiel,6,electrique,communicant,2016-06-11,actif
PDL-000002,CLI-00002,Plateau-Est,residentiel,12,electrique,ancien,2023-01-08,actif
PDL-000003,CLI-00003,Plateau-Est,residentiel,6,electrique,communicant,2022-09-26,actif
PDL-000004,CLI-00004,Parc-Tertiaire,professionnel,12,autre,communicant,2020-11-23,actif
PDL-000005,CLI-00005,Rives-Sud,residentiel,6,electrique,communicant,2019-01-14,actif
PDL-000006,CLI-00006,Parc-Tertiaire,professionnel,12,electrique,communicant,2019-12-19,resilie
PDL-000007,CLI-00007,Bourg-Ancien,professionnel,12,electrique,communicant,2020-09-04,actif
PDL-000008,CLI-00008,Coteaux-Ouest,residentiel,9,autre,communicant,2020-01-02,actif
PDL-000009,CLI-00009,Plateau-Est,residentiel,12,autre,communicant,2020-06-02,actif
PDL-000010,CLI-00010,Zone-Industrielle,professionnel,36,gaz,communicant,2021-06-01,actif
PDL-000011,CLI-00011,Val-Nord,residentiel,12,electrique,ancien,2016-05-04,actif
PDL-000012,CLI-00012,Rives-Sud,residentiel,6,electrique,communicant,2022-05-19,actif
PDL-000013,CLI-00013,Plateau-Est,residentiel,6,electrique,communicant,2019-02-02,actif
PDL-000015,CLI-00015,Plateau-Est,residentiel,12,electrique,communicant,2019-12-20,resilie
PDL-000016,CLI-00016,Rives-Sud,professionnel,12,gaz,communicant,2017-01-22,actif
PDL-000017,CLI-00017,Centre-Ville,professionnel,36,gaz,communicant,2018-03-01,actif
PDL-000018,CLI-00018,Coteaux-Ouest,residentiel,12,electrique,communicant,2022-08-02,actif
PDL-000019,CLI-00019,Centre-Ville,residentiel,12,autre,communicant,2021-10-04,actif
PDL-000020,CLI-00020,Plateau-Est,residentiel,12,gaz,communicant,2019-09-04,actif
PDL-000021,CLI-00021,Parc-Tertiaire,professionnel,36,electrique,communicant,2023-07-02,actif
PDL-000022,CLI-00022,Rives-Sud,residentiel,6,autre,communicant,2024-05-19,actif
PDL-000023,CLI-00023,Val-Nord,residentiel,6,autre,communicant,2020-12-07,actif
PDL-000024,CLI-00024,Coteaux-Ouest,professionnel,12,autre,communicant,2016-06-06,actif
PDL-000025,CLI-00025,Val-Nord,residentiel,12,autre,communicant,2016-12-18,actif
PDL-000027,CLI-00027,Val-Nord,residentiel,12,gaz,communicant,2021-11-13,actif
PDL-000028,CLI-00028,Val-Nord,residentiel,12,gaz,communicant,2020-12-27,actif
PDL-000030,CLI-00030,Coteaux-Ouest,residentiel,9,electrique,communicant,2021-04-05,actif
PDL-000031,CLI-00031,Zone-Industrielle,industriel,120,reseau_chaleur,communicant,2019-01-21,actif
PDL-000032,CLI-00032,Val-Nord,professionnel,36,gaz,communicant,2024-03-05,actif
PDL-000033,CLI-00033,Parc-Tertiaire,professionnel,36,electrique,communicant,2021-11-18,actif
PDL-000034,CLI-00034,Centre-Ville,residentiel,6,autre,communicant,2017-03-12,actif
