id_reclamation,id_client,date,canal,texte,satisfaction
REC-00001,CLI-00649,2025-12-07,email,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",1
REC-00002,CLI-00541,2025-12-02,espace_client,"Je tiens a remercier le technicien intervenu en decembre, tres professionnel et a l'ecoute.",5
REC-00003,CLI-00064,2025-01-24,courrier,"Les microcoupures se multiplient depuis janvier sur Parc-Tertiaire, quand le reseau sera-t-il fiabilise ?",2
REC-00004,CLI-00570,2024-06-23,courrier,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",2
REC-00005,CLI-00088,2026-02-19,espace_client,"Je conteste ma facture de fevrier, le montant de 120 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",2
REC-00006,CLI-00634,2025-04-03,espace_client,"Les microcoupures se multiplient depuis avril sur Plateau-Est, quand le reseau sera-t-il fiabilise ?",1
REC-00007,CLI-00153,2024-06-19,email,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",2
REC-00008,CLI-00334,2025-09-25,email,"Je conteste ma facture de septembre, le montant de 873 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",1
REC-00009,CLI-00670,2025-12-25,email,"Je conteste ma facture de decembre, le montant de 1039 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",2
REC-00010,CLI-00560,2026-05-17,courrier,"Ma facture de regularisation de mai est incomprehensible, je demande un echeancier et des explications detaillees.",3
REC-00011,CLI-00534,2025-10-11,courrier,"Je n'ai pas donne mon accord pour la transmission de mes donnees de consommation, je m'interroge sur le respect du RGPD.",1
REC-00012,CLI-00130,2025-06-28,courrier,"Probleme resolu rapidement par votre service client, je suis tres satisfait de la prise en charge.",4
REC-00013,CLI-00028,2024-04-13,email,"Ma facture de regularisation de avril est incomprehensible, je demande un echeancier et des explications detaillees.",2
REC-00014,CLI-00117,2024-07-23,courrier,Quelle est la part d'energie verte reellement fournie sur le secteur Rives-Sud ?,4
REC-00015,CLI-00648,2024-03-15,courrier,"Encore une coupure cette nuit a Plateau-Est, mes appareils ont ete endommages, je demande un dedommagement.",3
REC-00016,CLI-00040,2024-04-27,espace_client,"Je conteste ma facture de avril, le montant de 320 euros est anormalement eleve par rapport a ma consommation habituelle. Merci de verifier.",1
REC-00017,CLI-00090,2025-10-19,courrier,"Je demande le raccordement de mon nouveau logement a Bourg-Ancien, quel est le delai et le cout ?",2
REC-00018,CLI-00384,2026-05-03,courrier,"Vous m'avez preleve deux fois ce mois-ci, je veux un remboursement rapide de ce trop-percu.",2
REC-00019,CLI-00222,2024-02-09,espace_client,"Encore une coupure cette nuit a Centre-Ville, mes appareils ont ete endommages, je demande un dedommagement.",3
REC-00020,CLI-00660,2025-01-31,telephone,"Probleme resolu rapidement par votre service client, je suis tres satisfait de la prise en charge.",4
REC-00021,CLI-00384,2025-03-18,courrier,"Je tiens a remercier le technicien intervenu en mars, tres professionnel et a l'ecoute.",4
REC-00022,CLI-00055,2025-02-01,espace_client,"Je souhaite augmenter la puissance de mon compteur, comment proceder ?",3
REC-00023,CLI-00045,2025-09-05,email,"Mon dossier de raccordement est bloque depuis septembre, je n'ai aucune nouvelle de vos services.",3
REC-00024,CLI-00350,2025-03-26,espace_client,"Depuis l'installation du nouveau compteur en mars, mes index sont incoherents. Pouvez-vous envoyer un technicien ?",3
REC-00025,CLI-00241,2024-10-31,courrier,"Le nouvel espace client est clair et pratique, bravo pour cette amelioration.",5
